geography_code,geography_name,cancer_code,cancer_label_en,cancer_label_pl,measure,year,standard_population,female,male,male_minus_female,male_female_ratio,source_id,source_version
GBR,United Kingdom,UNSPECIFIED,Unspecified sites,Nowotwory o nieokreślonym umiejscowieniu,mortality,2024,World standard population,5.21,5.84,0.6299999999999999,1.1209213051823417,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,BLADDER,Bladder,Pęcherz moczowy,incidence,2024,World standard population,5.15,19.93,14.78,3.869902912621359,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,BLADDER,Bladder,Pęcherz moczowy,mortality,2024,World standard population,1.68,8.28,6.6,4.928571428571428,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,incidence,2024,World standard population,5.28,6.9,1.62,1.3068181818181819,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,mortality,2024,World standard population,3.92,5.79,1.87,1.4770408163265307,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,COLORECTUM,Colorectum,Jelito grube i odbytnica,incidence,2024,World standard population,22.4,38.85,16.450000000000003,1.7343750000000002,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,COLORECTUM,Colorectum,Jelito grube i odbytnica,mortality,2024,World standard population,10.39,20.86,10.469999999999999,2.0076997112608277,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,incidence,2024,World standard population,1.4,0.79,-0.6099999999999999,0.5642857142857144,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,mortality,2024,World standard population,1.01,0.54,-0.47,0.5346534653465347,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,incidence,2024,World standard population,1.79,2.36,0.5699999999999998,1.318435754189944,iarc_globocan_2024,GLOBOCAN 2024
